Reg.,Data,Hora,kW,kvarIND,kvarCAP,SH,SR,FPot.,DCR,UFER
8631,2018-07-18,00:00:00,8,7,0,F,L,78 L,10,1
8634,2018-07-18,00:15:00,8,7,0,F,C,78 L,,
8637,2018-07-18,00:30:00,8,7,0,F,C,78 L,,
8640,2018-07-18,00:45:00,5,5,0,F,C,71 L,,
8643,2018-07-18,01:00:00,5,7,0,F,C,60 L,,
3,2018-07-18,01:15:00,7,8,0,F,C,62 L,,
6,2018-07-18,01:30:00,7,7,0,F,C,71 L,,
9,2018-07-18,01:45:00,7,7,0,F,C,71 L,,
12,2018-07-18,02:00:00,5,7,0,F,C,60 L,,
15,2018-07-18,02:15:00,7,7,0,F,C,71 L,,
18,2018-07-18,02:30:00,7,7,0,F,C,71 L,,
21,2018-07-18,02:45:00,7,8,0,F,C,62 L,,
24,2018-07-18,03:00:00,5,7,0,F,C,60 L,,
27,2018-07-18,03:15:00,7,7,0,F,C,71 L,,
30,2018-07-18,03:30:00,7,8,0,F,C,62 L,,
33,2018-07-18,03:45:00,5,7,0,F,C,60 L,,
36,2018-07-18,04:00:00,7,8,0,F,C,62 L,,
39,2018-07-18,04:15:00,5,7,0,F,C,60 L,,
42,2018-07-18,04:30:00,7,7,0,F,C,71 L,,
45,2018-07-18,04:45:00,7,8,0,F,C,62 L,,
48,2018-07-18,05:00:00,7,7,0,F,C,71 L,,
51,2018-07-18,05:15:00,5,8,0,F,C,51 L,,
54,2018-07-18,05:30:00,7,7,0,F,C,71 L,,
57,2018-07-18,05:45:00,5,7,0,F,C,60 L,,
60,2018-07-18,06:00:00,7,7,0,F,C,71 L,,
63,2018-07-18,06:15:00,7,7,0,F,L,71 L,,
66,2018-07-18,06:30:00,5,5,0,F,L,71 L,,
69,2018-07-18,06:45:00,5,8,0,F,L,51 L,,
72,2018-07-18,07:00:00,5,7,0,F,L,60 L,8,3
75,2018-07-18,07:15:00,7,7,0,F,L,71 L,,
78,2018-07-18,07:30:00,7,7,0,F,L,71 L,,
81,2018-07-18,07:45:00,7,5,0,F,L,80 L,,
84,2018-07-18,08:00:00,8,7,0,F,L,78 L,9,2
87,2018-07-18,08:15:00,8,7,0,F,L,78 L,,
90,2018-07-18,08:30:00,10,7,0,F,L,83 L,,
93,2018-07-18,08:45:00,10,5,0,F,L,89 L,,
96,2018-07-18,09:00:00,10,5,0,F,L,89 L,10,1
99,2018-07-18,09:15:00,8,7,0,F,L,78 L,,
102,2018-07-18,09:30:00,12,7,0,F,L,87 L,,
105,2018-07-18,09:45:00,10,7,0,F,L,83 L,,
108,2018-07-18,10:00:00,10,5,0,F,L,89 L,11,1
111,2018-07-18,10:15:00,12,5,0,F,L,92 L,,
114,2018-07-18,10:30:00,10,7,0,F,L,83 L,,
117,2018-07-18,10:45:00,10,5,0,F,L,89 L,,
120,2018-07-18,11:00:00,10,5,0,F,L,89 L,11,0
123,2018-07-18,11:15:00,13,5,0,F,L,94 L,,
126,2018-07-18,11:30:00,12,5,0,F,L,92 L,,
129,2018-07-18,11:45:00,13,7,0,F,L,89 L,,
132,2018-07-18,12:00:00,13,5,0,F,L,94 L,,
135,2018-07-18,12:15:00,12,7,0,F,L,87 L,,
138,2018-07-18,12:30:00,10,5,0,F,L,89 L,,
141,2018-07-18,12:45:00,12,7,0,F,L,87 L,,
144,2018-07-18,13:00:00,10,7,0,F,L,83 L,12,1
147,2018-07-18,13:15:00,13,7,0,F,L,89 L,,
150,2018-07-18,13:30:00,13,7,0,F,L,89 L,,
153,2018-07-18,13:45:00,13,7,0,F,L,89 L,,
156,2018-07-18,14:00:00,15,8,0,F,L,87 L,14,0
159,2018-07-18,14:15:00,15,5,0,F,L,95 L,,
162,2018-07-18,14:30:00,13,7,0,F,L,89 L,,
165,2018-07-18,14:45:00,12,3,0,F,L,96 L,,
168,2018-07-18,15:00:00,13,5,0,F,L,94 L,,
171,2018-07-18,15:15:00,12,7,0,F,L,87 L,,
174,2018-07-18,15:30:00,13,5,0,F,L,94 L,,
177,2018-07-18,15:45:00,13,5,0,F,L,94 L,,
180,2018-07-18,16:00:00,13,7,0,F,L,89 L,13,0
183,2018-07-18,16:15:00,13,7,0,F,L,89 L,,
186,2018-07-18,16:30:00,15,7,0,F,L,91 L,,
189,2018-07-18,16:45:00,12,5,0,F,L,92 L,,
192,2018-07-18,17:00:00,13,8,0,F,L,85 L,14,0
195,2018-07-18,17:15:00,15,7,0,F,L,91 L,,
198,2018-07-18,17:30:00,15,7,0,F,L,91 L,,
201,2018-07-18,17:45:00,15,7,0,F,L,91 L,,
204,2018-07-18,18:00:00,12,8,0,F,L,81 L,15,0
207,2018-07-18,18:15:00,2,3,0,P,L,45 L,,
210,2018-07-18,18:30:00,0,2,0,P,L,0 L,,
213,2018-07-18,18:45:00,2,3,0,P,L,45 L,,
216,2018-07-18,19:00:00,0,3,0,P,L,0 L,3,2
219,2018-07-18,19:15:00,2,3,0,P,L,45 L,,
222,2018-07-18,19:30:00,0,5,0,P,L,0 L,,
225,2018-07-18,19:45:00,2,3,0,P,L,45 L,,
228,2018-07-18,20:00:00,0,2,0,P,L,0 L,3,2
231,2018-07-18,20:15:00,2,3,0,P,L,45 L,,
234,2018-07-18,20:30:00,0,3,0,P,L,0 L,,
237,2018-07-18,20:45:00,2,2,0,P,L,71 L,,
240,2018-07-18,21:00:00,0,3,0,P,L,0 L,3,2
243,2018-07-18,21:15:00,2,2,0,F,L,71 L,,
246,2018-07-18,21:30:00,2,3,0,F,L,45 L,,
249,2018-07-18,21:45:00,12,7,0,F,L,87 L,,
252,2018-07-18,22:00:00,8,7,0,F,L,78 L,7,1
255,2018-07-18,22:15:00,10,5,0,F,L,89 L,,
258,2018-07-18,22:30:00,8,7,0,F,L,78 L,,
261,2018-07-18,22:45:00,8,7,0,F,L,78 L,,
264,2018-07-18,23:00:00,8,7,0,F,L,78 L,10,1
267,2018-07-18,23:15:00,8,7,0,F,L,78 L,,
270,2018-07-18,23:30:00,8,7,0,F,L,78 L,,
273,2018-07-18,23:45:00,8,7,0,F,L,78 L,,
276,2018-07-19,00:00:00,8,7,0,F,L,78 L,10,1
279,2018-07-19,00:15:00,8,7,0,F,C,78 L,,
282,2018-07-19,00:30:00,8,7,0,F,C,78 L,,
285,2018-07-19,00:45:00,5,5,0,F,C,71 L,,
288,2018-07-19,01:00:00,5,7,0,F,C,60 L,,
291,2018-07-19,01:15:00,7,7,0,F,C,71 L,,
294,2018-07-19,01:30:00,5,7,0,F,C,60 L,,
297,2018-07-19,01:45:00,3,5,0,F,C,55 L,,
300,2018-07-19,02:00:00,5,7,0,F,C,60 L,,
303,2018-07-19,02:15:00,5,7,0,F,C,60 L,,
306,2018-07-19,02:30:00,3,8,0,F,C,37 L,,
309,2018-07-19,02:45:00,5,7,0,F,C,60 L,,
312,2018-07-19,03:00:00,5,7,0,F,C,60 L,,
315,2018-07-19,03:15:00,5,7,0,F,C,60 L,,
318,2018-07-19,03:30:00,5,8,0,F,C,51 L,,
321,2018-07-19,03:45:00,3,7,0,F,C,45 L,,
324,2018-07-19,04:00:00,5,7,0,F,C,60 L,,
327,2018-07-19,04:15:00,5,7,0,F,C,60 L,,
330,2018-07-19,04:30:00,5,5,0,F,C,71 L,,
333,2018-07-19,04:45:00,3,7,0,F,C,45 L,,
336,2018-07-19,05:00:00,5,7,0,F,C,60 L,,
339,2018-07-19,05:15:00,5,7,0,F,C,60 L,,
342,2018-07-19,05:30:00,5,7,0,F,C,60 L,,
345,2018-07-19,05:45:00,5,7,0,F,C,60 L,,
348,2018-07-19,06:00:00,5,5,0,F,C,71 L,,
351,2018-07-19,06:15:00,5,7,0,F,L,60 L,,
354,2018-07-19,06:30:00,7,7,0,F,L,71 L,,
357,2018-07-19,06:45:00,5,7,0,F,L,60 L,,
360,2018-07-19,07:00:00,5,7,0,F,L,60 L,8,3
363,2018-07-19,07:15:00,5,7,0,F,L,60 L,,
366,2018-07-19,07:30:00,7,7,0,F,L,71 L,,
369,2018-07-19,07:45:00,5,5,0,F,L,71 L,,
372,2018-07-19,08:00:00,7,5,0,F,L,80 L,8,2
375,2018-07-19,08:15:00,8,7,0,F,L,78 L,,
378,2018-07-19,08:30:00,10,5,0,F,L,89 L,,
381,2018-07-19,08:45:00,12,5,0,F,L,92 L,,
384,2018-07-19,09:00:00,10,7,0,F,L,83 L,11,1
387,2018-07-19,09:15:00,10,7,0,F,L,83 L,,
390,2018-07-19,09:30:00,12,5,0,F,L,92 L,,
393,2018-07-19,09:45:00,13,7,0,F,L,89 L,,
396,2018-07-19,10:00:00,13,7,0,F,L,89 L,13,0
399,2018-07-19,10:15:00,12,7,0,F,L,87 L,,
402,2018-07-19,10:30:00,8,5,0,F,L,86 L,,
405,2018-07-19,10:45:00,8,5,0,F,L,86 L,,
408,2018-07-19,11:00:00,10,5,0,F,L,89 L,10,1
411,2018-07-19,11:15:00,8,7,0,F,L,78 L,,
414,2018-07-19,11:30:00,10,7,0,F,L,83 L,,
417,2018-07-19,11:45:00,8,5,0,F,L,86 L,,
420,2018-07-19,12:00:00,10,7,0,F,L,83 L,10,1
423,2018-07-19,12:15:00,12,5,0,F,L,92 L,,
426,2018-07-19,12:30:00,10,7,0,F,L,83 L,,
429,2018-07-19,12:45:00,12,7,0,F,L,87 L,,
432,2018-07-19,13:00:00,10,5,0,F,L,89 L,11,0
435,2018-07-19,13:15:00,12,8,0,F,L,81 L,,
438,2018-07-19,13:30:00,12,7,0,F,L,87 L,,
441,2018-07-19,13:45:00,12,7,0,F,L,87 L,,
444,2018-07-19,14:00:00,12,8,0,F,L,81 L,13,1
447,2018-07-19,14:15:00,24,17,0,F,L,81 L,,
450,2018-07-19,14:30:00,40,27,0,F,L,83 L,,
453,2018-07-19,14:45:00,18,13,0,F,L,81 L,,
456,2018-07-19,15:00:00,32,20,0,F,L,85 L,32,3
459,2018-07-19,15:15:00,27,17,0,F,L,85 L,,
462,2018-07-19,15:30:00,24,15,0,F,L,84 L,,
465,2018-07-19,15:45:00,37,24,0,F,L,84 L,,
468,2018-07-19,16:00:00,18,13,0,F,L,81 L,29,3
471,2018-07-19,16:15:00,20,13,0,F,L,83 L,,
474,2018-07-19,16:30:00,45,30,0,F,L,83 L,,
477,2018-07-19,16:45:00,17,13,0,F,L,78 L,,
480,2018-07-19,17:00:00,17,12,0,F,L,82 L,28,3
483,2018-07-19,17:15:00,8,7,0,F,L,78 L,,
486,2018-07-19,17:30:00,8,5,0,F,L,86 L,,
489,2018-07-19,17:45:00,8,7,0,F,L,78 L,,
492,2018-07-19,18:00:00,8,7,0,F,L,78 L,10,1
495,2018-07-19,18:15:00,10,7,0,P,L,83 L,,
498,2018-07-19,18:30:00,10,7,0,P,L,83 L,,
501,2018-07-19,18:45:00,10,7,0,P,L,83 L,,
504,2018-07-19,19:00:00,10,7,0,P,L,83 L,11,1
507,2018-07-19,19:15:00,10,5,0,P,L,89 L,,
510,2018-07-19,19:30:00,8,7,0,P,L,78 L,,
513,2018-07-19,19:45:00,8,8,0,P,L,71 L,,
516,2018-07-19,20:00:00,10,5,0,P,L,89 L,10,1
519,2018-07-19,20:15:00,12,7,0,P,L,87 L,,
522,2018-07-19,20:30:00,10,7,0,P,L,83 L,,
525,2018-07-19,20:45:00,10,5,0,P,L,89 L,,
528,2018-07-19,21:00:00,10,7,0,P,L,83 L,11,1
531,2018-07-19,21:15:00,12,5,0,F,L,92 L,,
534,2018-07-19,21:30:00,12,7,0,F,L,87 L,,
537,2018-07-19,21:45:00,10,8,0,F,L,77 L,,
540,2018-07-19,22:00:00,22,18,0,F,L,76 L,16,2
543,2018-07-19,22:15:00,20,17,0,F,L,77 L,,
546,2018-07-19,22:30:00,12,12,0,F,L,71 L,,
549,2018-07-19,22:45:00,10,12,0,F,L,65 L,,
552,2018-07-19,23:00:00,20,18,0,F,L,74 L,20,4
555,2018-07-19,23:15:00,20,18,0,F,L,74 L,,
558,2018-07-19,23:30:00,12,12,0,F,L,71 L,,
561,2018-07-19,23:45:00,10,12,0,F,L,65 L,,
564,2018-07-20,00:00:00,13,15,0,F,L,66 L,18,4
567,2018-07-20,00:15:00,27,22,0,F,C,78 L,,
570,2018-07-20,00:30:00,7,7,0,F,C,71 L,,
573,2018-07-20,00:45:00,7,5,0,F,C,80 L,,
576,2018-07-20,01:00:00,5,5,0,F,C,71 L,,
579,2018-07-20,01:15:00,5,7,0,F,C,60 L,,
582,2018-07-20,01:30:00,5,7,0,F,C,60 L,,
585,2018-07-20,01:45:00,7,7,0,F,C,71 L,,
588,2018-07-20,02:00:00,5,7,0,F,C,60 L,,
591,2018-07-20,02:15:00,5,7,0,F,C,60 L,,
594,2018-07-20,02:30:00,7,5,0,F,C,80 L,,
597,2018-07-20,02:45:00,5,8,0,F,C,51 L,,
600,2018-07-20,03:00:00,5,7,0,F,C,60 L,,
603,2018-07-20,03:15:00,7,7,0,F,C,71 L,,
606,2018-07-20,03:30:00,5,7,0,F,C,60 L,,
609,2018-07-20,03:45:00,5,7,0,F,C,60 L,,
612,2018-07-20,04:00:00,5,8,0,F,C,51 L,,
615,2018-07-20,04:15:00,5,7,0,F,C,60 L,,
618,2018-07-20,04:30:00,5,7,0,F,C,60 L,,
621,2018-07-20,04:45:00,5,7,0,F,C,60 L,,
624,2018-07-20,05:00:00,3,5,0,F,C,55 L,,
627,2018-07-20,05:15:00,5,7,0,F,C,60 L,,
630,2018-07-20,05:30:00,5,7,0,F,C,60 L,,
633,2018-07-20,05:45:00,5,7,0,F,C,60 L,,
636,2018-07-20,06:00:00,7,7,0,F,C,71 L,,
639,2018-07-20,06:15:00,5,5,0,F,L,71 L,,
642,2018-07-20,06:30:00,7,7,0,F,L,71 L,,
645,2018-07-20,06:45:00,5,8,0,F,L,51 L,,
648,2018-07-20,07:00:00,5,7,0,F,L,60 L,8,3
651,2018-07-20,07:15:00,7,7,0,F,L,71 L,,
654,2018-07-20,07:30:00,5,5,0,F,L,71 L,,
657,2018-07-20,07:45:00,5,7,0,F,L,60 L,,
660,2018-07-20,08:00:00,7,5,0,F,L,80 L,8,2
663,2018-07-20,08:15:00,5,5,0,F,L,71 L,,
666,2018-07-20,08:30:00,8,7,0,F,L,78 L,,
669,2018-07-20,08:45:00,8,7,0,F,L,78 L,,
672,2018-07-20,09:00:00,7,5,0,F,L,80 L,9,1
675,2018-07-20,09:15:00,8,7,0,F,L,78 L,,
678,2018-07-20,09:30:00,12,8,0,F,L,81 L,,
681,2018-07-20,09:45:00,8,7,0,F,L,78 L,,
684,2018-07-20,10:00:00,10,7,0,F,L,83 L,11,1
687,2018-07-20,10:15:00,13,8,0,F,L,85 L,,
690,2018-07-20,10:30:00,13,8,0,F,L,85 L,,
693,2018-07-20,10:45:00,13,10,0,F,L,80 L,,
696,2018-07-20,11:00:00,13,7,0,F,L,89 L,15,1
699,2018-07-20,11:15:00,13,8,0,F,L,85 L,,
702,2018-07-20,11:30:00,13,7,0,F,L,89 L,,
705,2018-07-20,11:45:00,12,7,0,F,L,87 L,,
708,2018-07-20,12:00:00,15,7,0,F,L,91 L,14,1
711,2018-07-20,12:15:00,13,7,0,F,L,89 L,,
714,2018-07-20,12:30:00,12,7,0,F,L,87 L,,
717,2018-07-20,12:45:00,12,7,0,F,L,87 L,,
720,2018-07-20,13:00:00,8,5,0,F,L,86 L,12,1
723,2018-07-20,13:15:00,8,5,0,F,L,86 L,,
726,2018-07-20,13:30:00,7,5,0,F,L,80 L,,
729,2018-07-20,13:45:00,8,5,0,F,L,86 L,,
732,2018-07-20,14:00:00,8,7,0,F,L,78 L,9,1
735,2018-07-20,14:15:00,7,5,0,F,L,80 L,,
738,2018-07-20,14:30:00,12,7,0,F,L,87 L,,
741,2018-07-20,14:45:00,13,8,0,F,L,85 L,,
744,2018-07-20,15:00:00,13,8,0,F,L,85 L,12,1
747,2018-07-20,15:15:00,10,5,0,F,L,89 L,,
750,2018-07-20,15:30:00,12,7,0,F,L,87 L,,
753,2018-07-20,15:45:00,12,8,0,F,L,81 L,,
756,2018-07-20,16:00:00,13,5,0,F,L,94 L,12,1
759,2018-07-20,16:15:00,10,7,0,F,L,83 L,,
762,2018-07-20,16:30:00,12,7,0,F,L,87 L,,
765,2018-07-20,16:45:00,10,5,0,F,L,89 L,,
768,2018-07-20,17:00:00,15,8,0,F,L,87 L,12,1
771,2018-07-20,17:15:00,15,10,0,F,L,83 L,,
774,2018-07-20,17:30:00,13,8,0,F,L,85 L,,
777,2018-07-20,17:45:00,13,8,0,F,L,85 L,,
780,2018-07-20,18:00:00,12,7,0,F,L,87 L,15,1
783,2018-07-20,18:15:00,12,8,0,P,L,81 L,,
786,2018-07-20,18:30:00,12,8,0,P,L,81 L,,
789,2018-07-20,18:45:00,8,7,0,P,L,78 L,,
792,2018-07-20,19:00:00,13,8,0,P,L,85 L,13,1
795,2018-07-20,19:15:00,12,10,0,P,L,76 L,,
798,2018-07-20,19:30:00,15,10,0,P,L,83 L,,
801,2018-07-20,19:45:00,18,10,0,P,L,88 L,,
804,2018-07-20,20:00:00,17,10,0,P,L,86 L,17,2
807,2018-07-20,20:15:00,17,10,0,P,L,86 L,,
810,2018-07-20,20:30:00,18,10,0,P,L,88 L,,
813,2018-07-20,20:45:00,20,8,0,P,L,92 L,,
816,2018-07-20,21:00:00,18,7,0,P,L,94 L,19,0
819,2018-07-20,21:15:00,17,8,0,F,L,89 L,,
822,2018-07-20,21:30:00,18,8,0,F,L,91 L,,
825,2018-07-20,21:45:00,13,7,0,F,L,89 L,,
828,2018-07-20,22:00:00,13,7,0,F,L,89 L,16,0
831,2018-07-20,22:15:00,13,5,0,F,L,94 L,,
834,2018-07-20,22:30:00,13,7,0,F,L,89 L,,
837,2018-07-20,22:45:00,13,7,0,F,L,89 L,,
840,2018-07-20,23:00:00,8,5,0,F,L,86 L,12,0
843,2018-07-20,23:15:00,5,7,0,F,L,60 L,,
846,2018-07-20,23:30:00,5,5,0,F,L,71 L,,
849,2018-07-20,23:45:00,7,7,0,F,L,71 L,,
852,2018-07-21,00:00:00,5,5,0,F,L,71 L,7,2
855,2018-07-21,00:15:00,5,7,0,F,C,60 L,,
858,2018-07-21,00:30:00,7,7,0,F,C,71 L,,
861,2018-07-21,00:45:00,5,7,0,F,C,60 L,,
864,2018-07-21,01:00:00,7,7,0,F,C,71 L,,
867,2018-07-21,01:15:00,5,5,0,F,C,71 L,,
870,2018-07-21,01:30:00,5,8,0,F,C,51 L,,
873,2018-07-21,01:45:00,5,5,0,F,C,71 L,,
876,2018-07-21,02:00:00,7,7,0,F,C,71 L,,
879,2018-07-21,02:15:00,5,7,0,F,C,60 L,,
882,2018-07-21,02:30:00,7,7,0,F,C,71 L,,
885,2018-07-21,02:45:00,5,7,0,F,C,60 L,,
888,2018-07-21,03:00:00,7,7,0,F,C,71 L,,
891,2018-07-21,03:15:00,5,7,0,F,C,60 L,,
894,2018-07-21,03:30:00,7,7,0,F,C,71 L,,
897,2018-07-21,03:45:00,7,7,0,F,C,71 L,,
900,2018-07-21,04:00:00,5,7,0,F,C,60 L,,
903,2018-07-21,04:15:00,7,8,0,F,C,62 L,,
906,2018-07-21,04:30:00,5,7,0,F,C,60 L,,
909,2018-07-21,04:45:00,7,7,0,F,C,71 L,,
912,2018-07-21,05:00:00,7,8,0,F,C,62 L,,
915,2018-07-21,05:15:00,5,7,0,F,C,60 L,,
918,2018-07-21,05:30:00,7,7,0,F,C,71 L,,
921,2018-07-21,05:45:00,5,7,0,F,C,60 L,,
924,2018-07-21,06:00:00,5,7,0,F,C,60 L,,
927,2018-07-21,06:15:00,7,7,0,F,L,71 L,,
930,2018-07-21,06:30:00,5,7,0,F,L,60 L,,
933,2018-07-21,06:45:00,5,7,0,F,L,60 L,,
936,2018-07-21,07:00:00,7,7,0,F,L,71 L,8,2
939,2018-07-21,07:15:00,3,5,0,F,L,55 L,,
942,2018-07-21,07:30:00,5,7,0,F,L,60 L,,
945,2018-07-21,07:45:00,5,5,0,F,L,71 L,,
948,2018-07-21,08:00:00,3,7,0,F,L,45 L,7,2
951,2018-07-21,08:15:00,5,5,0,F,L,71 L,,
954,2018-07-21,08:30:00,5,7,0,F,L,60 L,,
957,2018-07-21,08:45:00,5,5,0,F,L,71 L,,
960,2018-07-21,09:00:00,5,5,0,F,L,71 L,7,2
963,2018-07-21,09:15:00,7,8,0,F,L,62 L,,
966,2018-07-21,09:30:00,7,7,0,F,L,71 L,,
969,2018-07-21,09:45:00,7,8,0,F,L,62 L,,
972,2018-07-21,10:00:00,7,7,0,F,L,71 L,9,3
975,2018-07-21,10:15:00,7,7,0,F,L,71 L,,
978,2018-07-21,10:30:00,5,5,0,F,L,71 L,,
981,2018-07-21,10:45:00,7,5,0,F,L,80 L,,
984,2018-07-21,11:00:00,7,7,0,F,L,71 L,8,2
987,2018-07-21,11:15:00,7,5,0,F,L,80 L,,
990,2018-07-21,11:30:00,7,5,0,F,L,80 L,,
993,2018-07-21,11:45:00,7,5,0,F,L,80 L,,
996,2018-07-21,12:00:00,5,5,0,F,L,71 L,7,1
999,2018-07-21,12:15:00,3,5,0,F,L,55 L,,
1002,2018-07-21,12:30:00,3,5,0,F,L,55 L,,
1005,2018-07-21,12:45:00,5,5,0,F,L,71 L,,
1008,2018-07-21,13:00:00,3,5,0,F,L,55 L,6,2
1011,2018-07-21,13:15:00,5,7,0,F,L,60 L,,
1014,2018-07-21,13:30:00,3,5,0,F,L,55 L,,
1017,2018-07-21,13:45:00,5,5,0,F,L,71 L,,
1020,2018-07-21,14:00:00,7,7,0,F,L,71 L,7,2
1023,2018-07-21,14:15:00,7,5,0,F,L,80 L,,
1026,2018-07-21,14:30:00,7,5,0,F,L,80 L,,
1029,2018-07-21,14:45:00,7,7,0,F,L,71 L,,
1032,2018-07-21,15:00:00,5,5,0,F,L,71 L,8,1
1035,2018-07-21,15:15:00,5,5,0,F,L,71 L,,
1038,2018-07-21,15:30:00,3,5,0,F,L,55 L,,
1041,2018-07-21,15:45:00,3,5,0,F,L,55 L,,
1044,2018-07-21,16:00:00,5,5,0,F,L,71 L,6,2
1047,2018-07-21,16:15:00,3,5,0,F,L,55 L,,
1050,2018-07-21,16:30:00,3,5,0,F,L,55 L,,
1053,2018-07-21,16:45:00,5,5,0,F,L,71 L,,
1056,2018-07-21,17:00:00,3,5,0,F,L,55 L,6,2
1059,2018-07-21,17:15:00,5,5,0,F,L,71 L,,
1062,2018-07-21,17:30:00,3,5,0,F,L,55 L,,
1065,2018-07-21,17:45:00,5,5,0,F,L,71 L,,
1068,2018-07-21,18:00:00,5,7,0,F,L,60 L,7,2
1071,2018-07-21,18:15:00,5,5,0,F,L,71 L,,
1074,2018-07-21,18:30:00,5,5,0,F,L,71 L,,
1077,2018-07-21,18:45:00,5,5,0,F,L,71 L,,
1080,2018-07-21,19:00:00,5,7,0,F,L,60 L,7,2
1083,2018-07-21,19:15:00,7,5,0,F,L,80 L,,
1086,2018-07-21,19:30:00,5,7,0,F,L,60 L,,
1089,2018-07-21,19:45:00,5,5,0,F,L,71 L,,
1092,2018-07-21,20:00:00,7,7,0,F,L,71 L,8,2
1095,2018-07-21,20:15:00,5,5,0,F,L,71 L,,
1098,2018-07-21,20:30:00,5,7,0,F,L,60 L,,
1101,2018-07-21,20:45:00,5,5,0,F,L,71 L,,
1104,2018-07-21,21:00:00,5,5,0,F,L,71 L,7,2
1107,2018-07-21,21:15:00,5,5,0,F,L,71 L,,
1110,2018-07-21,21:30:00,5,5,0,F,L,71 L,,
1113,2018-07-21,21:45:00,7,7,0,F,L,71 L,,
1116,2018-07-21,22:00:00,5,7,0,F,L,60 L,7,2
1119,2018-07-21,22:15:00,5,7,0,F,L,60 L,,
1122,2018-07-21,22:30:00,7,5,0,F,L,80 L,,
1125,2018-07-21,22:45:00,5,5,0,F,L,71 L,,
1128,2018-07-21,23:00:00,5,5,0,F,L,71 L,7,2
1131,2018-07-21,23:15:00,5,5,0,F,L,71 L,,
1134,2018-07-21,23:30:00,5,7,0,F,L,60 L,,
1137,2018-07-21,23:45:00,5,5,0,F,L,71 L,,
1140,2018-07-22,00:00:00,7,5,0,F,L,80 L,7,2
1143,2018-07-22,00:15:00,5,7,0,F,C,60 L,,
1146,2018-07-22,00:30:00,5,5,0,F,C,71 L,,
1149,2018-07-22,00:45:00,7,5,0,F,C,80 L,,
1152,2018-07-22,01:00:00,5,5,0,F,C,71 L,,
1155,2018-07-22,01:15:00,5,5,0,F,C,71 L,,
1158,2018-07-22,01:30:00,5,7,0,F,C,60 L,,
1161,2018-07-22,01:45:00,7,5,0,F,C,80 L,,
1164,2018-07-22,02:00:00,5,5,0,F,C,71 L,,
1167,2018-07-22,02:15:00,7,7,0,F,C,71 L,,
1170,2018-07-22,02:30:00,5,5,0,F,C,71 L,,
1173,2018-07-22,02:45:00,5,7,0,F,C,60 L,,
1176,2018-07-22,03:00:00,5,7,0,F,C,60 L,,
1179,2018-07-22,03:15:00,5,5,0,F,C,71 L,,
1182,2018-07-22,03:30:00,7,7,0,F,C,71 L,,
1185,2018-07-22,03:45:00,5,7,0,F,C,60 L,,
1188,2018-07-22,04:00:00,5,7,0,F,C,60 L,,
1191,2018-07-22,04:15:00,7,7,0,F,C,71 L,,
1194,2018-07-22,04:30:00,3,7,0,F,C,45 L,,
1197,2018-07-22,04:45:00,7,7,0,F,C,71 L,,
1200,2018-07-22,05:00:00,5,7,0,F,C,60 L,,
1203,2018-07-22,05:15:00,5,8,0,F,C,51 L,,
1206,2018-07-22,05:30:00,5,5,0,F,C,71 L,,
1209,2018-07-22,05:45:00,5,7,0,F,C,60 L,,
1212,2018-07-22,06:00:00,7,5,0,F,C,80 L,,
1215,2018-07-22,06:15:00,5,7,0,F,L,60 L,,
1218,2018-07-22,06:30:00,5,7,0,F,L,60 L,,
1221,2018-07-22,06:45:00,5,7,0,F,L,60 L,,
1224,2018-07-22,07:00:00,5,7,0,F,L,60 L,8,3
1227,2018-07-22,07:15:00,5,5,0,F,L,71 L,,
1230,2018-07-22,07:30:00,5,7,0,F,L,60 L,,
1233,2018-07-22,07:45:00,5,5,0,F,L,71 L,,
1236,2018-07-22,08:00:00,5,7,0,F,L,60 L,7,2
1239,2018-07-22,08:15:00,5,5,0,F,L,71 L,,
1242,2018-07-22,08:30:00,5,5,0,F,L,71 L,,
1245,2018-07-22,08:45:00,3,7,0,F,L,45 L,,
1248,2018-07-22,09:00:00,5,5,0,F,L,71 L,7,2
1251,2018-07-22,09:15:00,3,5,0,F,L,55 L,,
1254,2018-07-22,09:30:00,3,7,0,F,L,45 L,,
1257,2018-07-22,09:45:00,5,5,0,F,L,71 L,,
1260,2018-07-22,10:00:00,3,5,0,F,L,55 L,6,2
1263,2018-07-22,10:15:00,3,5,0,F,L,55 L,,
1266,2018-07-22,10:30:00,3,5,0,F,L,55 L,,
1269,2018-07-22,10:45:00,5,5,0,F,L,71 L,,
1272,2018-07-22,11:00:00,5,5,0,F,L,71 L,6,2
1275,2018-07-22,11:15:00,3,5,0,F,L,55 L,,
1278,2018-07-22,11:30:00,5,5,0,F,L,71 L,,
1281,2018-07-22,11:45:00,5,5,0,F,L,71 L,,
1284,2018-07-22,12:00:00,5,5,0,F,L,71 L,6,2
1287,2018-07-22,12:15:00,5,5,0,F,L,71 L,,
1290,2018-07-22,12:30:00,5,5,0,F,L,71 L,,
1293,2018-07-22,12:45:00,7,5,0,F,L,80 L,,
1296,2018-07-22,13:00:00,5,7,0,F,L,60 L,7,2
1299,2018-07-22,13:15:00,7,3,0,F,L,89 L,,
1302,2018-07-22,13:30:00,5,5,0,F,L,71 L,,
1305,2018-07-22,13:45:00,7,7,0,F,L,71 L,,
1308,2018-07-22,14:00:00,5,5,0,F,L,71 L,7,1
